COLUMNS_OF_MESI_MAIN.csv,,,,,,
soil_texture,character,usda_soil_texture_class,"organic,_sand,_loamy_sand,_sandy_loam,_sandy_clay_loam,_loam,_silt_loam,_silt,_silty_clay_loam,_clay,_clay_loam,_sandy_clay,_silty_clay",,,
citation,character,publication_the_data_were_extracted_from,e.g._gaihre_et_al_2014,,,
sampling_year,year,year_of_soil_sampling,e.g._2016,,,
main_rooting_zone_(cm),numeric,,e.g._70,,,
sand,numeric,percentage,e.g._9.2,,,
silt,numeric,percentage,e.g._65.7,,,
clay,numeric,percentage,e.g._25.1,,,
bd_(g_m3),numeric,soil_bulk_density,e.g._1150000,,,
som_(g_g),numeric,soil_organic_matter_concentration,e.g._0.036,,,
soc_(g_g),numeric,soil_organic_carbon_concentration,e.g._0.015,,,
soil_total_c_(g_g),numeric,soil_total_carbon_concentration,e.g._0.012,,,
soil_total_n_(g_g),numeric,soil_total_nitrogen_concentration,e.g._0.0014,,,
soil_cn,numeric,mass-based_soil_carbon_to_nitrogen_ratio,e.g._15.9,,,
ph_h2o,numeric,soil_ph_measured_in_water,e.g._6.3,,,
ph_unknown,numeric,soil_ph_measured_in_unknown_medium,e.g._5.79,,,
other_info,character,other_soil_information,e.g._eutric_cambisol,,,
COLUMNS_OF_MESI_METHODS_COMMENTS.csv,,,,,,
column,variable_type,description,values,,,
id,character,unique_identifier_per_data_point,"axxxx,_sxxxx,_hxxxx,_axxxx",,,
response_methodology,character,line_specific_explanation_of_how_response_variable_was_determined,,,,
comment,character,any_other_relevant_notes;_any_other_relevant_notes,,,,
