study,soil_texture,citation,sampling_year,main_rooting_zone_(cm),sand,silt,clay,bd_(g_m3),som_(g_g),soc_(g_g),soil_total_c_(g_g),soil_total_n_(g_g),soil_cn,ph_h2o,ph_cacl2,other_info
hohenheim_2009,silt_loam,poll_et_al_2013,NA,NA,NA,NA,NA,NA,NA,0.0121,NA,NA,NA,7,NA,loess-derived_stagnic_luvisol_wth_silt_loam_texture
duolun1,NA,bi_et_al_2011,NA,NA,62.8,20.3,16.9,1300000,NA,NA,NA,NA,NA,7.1,NA,haplic_calcisol
riceface_zhongcun_2004,sandy_loam,guo_et_al_2015b,2004,NA,57.8,28.5,13.6,1160000,NA,0.0184,NA,0.00145,NA,7.2,NA,calcareous;shajiang_aquic_cambisols
imgers_ng_2007b,NA,lu_et_al_2012,2008,NA,NA,NA,NA,1290000,NA,NA,NA,NA,NA,7.2,NA,calci_orthic_aridisol
bayreuth_event3,silt_loam,beierkuhnlein_et_al_2011,NA,NA,NA,NA,NA,NA,NA,NA,0.0189,0.0015,12.6,7.27,NA,NA
ua2010,sand,van_de_velde_et_al_2015,2010,NA,93.2,4.6,2.2,NA,NA,0.01,NA,0.00042,NA,7.6,NA,NA
ua2009au,sand,de_boeck_et_al_2011,2008,80,96,1.5,2.5,NA,NA,NA,0.0103,NA,NA,7.6,NA,NA
ua2009sp,sand,de_boeck_et_al_2011,2008,80,96,1.5,2.5,NA,NA,NA,0.0103,NA,NA,7.6,NA,NA
ua2009su,sand,de_boeck_et_al_2011,2008,80,96,1.5,2.5,NA,NA,NA,0.0103,NA,NA,7.6,NA,NA
capo_caccia2007,sandy_loam,de_dato_et_al_2013,NA,NA,NA,NA,NA,1100000,NA,NA,NA,NA,NA,7.7,NA,NA
garraf,loam,NA,NA,NA,42.9,38.7,18.4,NA,NA,NA,NA,NA,NA,8.1,NA,NA
kpbs,silty_clay_loam,harper_et_al_2005,NA,NA,8,60,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
hohenheim_roof,silt_loam,NA,NA,NA,9,69,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
47.82_133.67,NA,wang_et_al_2013,2010,NA,15,66,19,NA,NA,NA,NA,NA,NA,5.3,NA,NA
