response,description
soil_gross_n_mineralization,soil_gross_nitrogen_mineralization
soil_gross_nitrification,soil_gross_nitrification
soil_in,soil_inorganic_nitrogen
soil_n_efflux,soil_nitrogen_efflux
soil_n_immobilization,soil_nitrogen_immobilization
soil_n_leaching,soil_nitrogen_leaching
soil_n_mineralization,soil_nitrogen_mineralization
soil_n2o_flux,soil_nitrous_oxide_flux
soil_net_ammonification,soil_net_ammonification
soil_net_c_mineralization,soil_net_carbon_mineralization
soil_net_n_immobilization,soil_net_nitrogen_immobilization
soil_net_n_mineralization,soil_net_nitrogen_mineralization
soil_net_nitrification,soil_net_nitrification
soil_nh4,soil_ammonium
soil_nh4_immobilization,soil_ammonium_immobilization
soil_nh4_min_layer,mineral_soil_ammonium
soil_nh4_org_layer,organic_soil_ammonium
soil_nh4-n,soil_ammonium
soil_nh4-n_supply_rate,soil_ammonium_supply_rate
soil_nitrification,soil_nitrification
soil_no3,soil_nitrate
soil_no3_immobilization,soil_nitrate_immobilization
soil_no3_leaching,soil_nitrate_leaching
soil_no3_min_layer,mineral_soil_nitrate
soil_no3_org_layer,organic_soil_nitrate
soil_no3-n,soil_nitrate
soil_no3-n_supply_rate,soil_nitrate_supply_rate
soil_np,soil_nitrogen_to_phosphorus_ratio
soil_p,soil_phosphorus
soil_p_min_layer,mineral_soil_phosphorus
soil_p_supply_rate,soil_phosphorus_supply_rate
soil_pbray,available_soil_phosphorus_bray_method
soil_ph,soil_ph
soil_ph_min_layer,mineral_soil_ph
soil_phkcl,soil_ph_in_potassium_chloride_solution
soil_phw,soil_ph_in_water
soil_phw_min_layer,mineral_soil_ph_in_water
soil_po4,soil_phosphate
soil_polsen,available_soil_phosphorus_olsen_method
soil_potential_c_mineralization,soil_potential_carbon_mineralization
soil_potential_denitrification,soil_potential_denitrification
soil_potential_net_n_mineralization,soil_potential_net_nitrogen_mineralization
soil_potential_net_nitrification,soil_potential_net_nitrification
soil_potential_nitrification,soil_potential_nitrification
soil_solution_doc,soil_solution_dissolved_organic_carbon
soil_solution_don,soil_solution_dissolved_organic_nitrogen
soil_solution_mineral_n,soil_solution_mineral_nitrogen
soil_solution_nh4,soil_solution_ammonium
soil_solution_no3,soil_solution_nitrate
soil_total_base_cations,soil_total_base_cations
soil_total_c,soil_total_carbon
soil_total_c_min_layer,mineral_soil_total_carbon
soil_total_c_mineralization,soil_total_carbon_mineralization
soil_total_c_org_layer,organic_soil_total_carbon
soil_total_c_profile,soil_profile_total_carbon
soil_total_c_turnover,soil_total_carbon_turnover
soil_total_cec,soil_cation_exchange_capacity
soil_total_cec_min_layer,mineral_soil_cation_exchange_capacity
soil_total_cn,soil_carbon_to_nitrogen_ratio
soil_total_cn_min_layer,mineral_soil_carbon_to_nitrogen_ratio
soil_total_cn_org_layer,organic_soil_carbon_to_nitrogen_ratio
soil_total_k,soil_total_potassium
soil_total_k_min_layer,mineral_soil_total_potassium
soil_total_n,soil_total_nitrogen
soil_total_n_min_layer,mineral_soil_total_nitrogen
soil_total_n_org_layer,organic_soil_total_nitrogen
soil_total_p,soil_total_phosphorus
soil_total_p_min_layer,mineral_soil_total_phosphorus
soil_total_p_org_layer,organic_soil_total_phosphorus
som,soil_organic_matter
som_cn,soil_organic_matter_carbon_to_nitrogen_ratio
som_n,soil_organic_matter_nitrogen
stem_biomass,stem_biomass
stem_n,stem_nitrogen
stem_radial_growth,stem_radial_growth
swc,soil_water_content
swp,soil_water_potential
taproot_biomass,taproot_biomass
taproot_length,taproot_length
total_biomass,total_biomass
total_biomass_c,total_biomass_carbon
total_biomass_cn,total_biomass_carbon_to_nitrogen_ratio
